0,Asus ROG G701VI,img/asus.jpg,5255,For work,"ROG G701 is a portable and stylish gaming laptop that's engineered for incredible gaming performance. Overclockable NVIDIA® GeForce® GTX 1080 graphics gives it the potential to go toe-to-toe with even the most hardcore of all gaming laptops. ROG G701 is paired with an ultra-fast 120Hz G-SYNC display for smooth gaming performance to give you a competitive advantage on the battlefield."
1,iMac Pro,img/imacpro.jpg,17299,For work-Apple,"Pros love iMac. So when they asked us to build them a killer iMac, we went all in. And then we went way, way beyond, creating an iMac packed with the most staggeringly powerful collection of workstation-class graphics, processors, storage, memory and I/O of any Mac ever. And we did it without adding a millimetre to its iconic all-in-one design. So everyone from video editors to 3D animators to musicians to software developers to scientists can do what they do like they’ve never done before. Introducing iMac Pro. A lean, mean dream machine."
2,Gigaset A120,img/1.jpg,228,For work,"Gigaset A120 Duo – надежный беспроводной телефон с дополнительной трубкой, который оснащен полным repeta pituh suka комплектом базовых функций. Удобные клавиши и графический дисплей с подсветкой обеспечивают комфорт при совершении звонков. Заранее зарегистрированные на базовой станции телефонные трубки позволяют использовать эту модель прямо «из коробки», без сложных процедур настройки.
Подробнее: http://rozetka.com.ua/gigaset_a120_duo/p225470/"
3,AEG L 98699 FL,img/2.jpg,90,For work,"ХлопокТихая   ты пес кучерявый нах   СинтетикаСупер эко 15Хлопок экоПолосканиеОсвежениеБыстрая 20 мин. 3 кгПуховые одеялаАнтиаллергическаяОтжим/СливСинтетика лёгкая глажка
ДеликатнаяШерсть плПодробнее: http://bt.rot.tvoi.ebal.com.ua/481740/p481740/"
4,AEG L 98699 FL,img/2.jpg,90,For work,"POVTORIENIE MAT` UCHENIA suchara:)"
5,Кредитный пакет,img/3.jpg,1488,For work,"Комиссия 0% первые 3 месяца (льготный период) с 4-го месяцакомиссия 2,5%Уникальная возможность для питушиного гнезда: получение товара в момент подписания кредитного договора по всей территории Украины одробнее: http://rozetka.com.ua/credit/для_идиотов_и_даунов"
6,3Q PC Unity,img/4.jpg,90,Phones,"PC Unity i1840-403 — это ПК от 3Q, который подарит вам совершенно новые впечатления в мире виртуальных развлечений, будь то гонки в высокотехнологичных гоночных симуляторах, или напряженные сетевые баталии в онлайн играх, ty pituh.
Подробнее: https://hard.rozetka.com.ua/3q_i1840_403_io_nd/p12198782/"
7,Туфли Respect,img/5.jpg,90222,Phones,"Respect — это сочетание линий элегантности, удобства, моды и комфорта. Яркий дизайн и использование современных материалов соответствует актуальным тенденциям мировой моды. Целевая аудитория — eto ty, PIDOR"
8,Шланг "твое ебало",img/6.jpg,902,Phones,"Шланг для полива Magic hose станет незаменимой вещью в каждом загородном доме. Это новейшая технология. Вам ничего не нужно делать! Шланг сам расширяется в три раза. Все что вам нужно, это включить напор воды.
Подробнее: https://rozetka.com.ua/grunhelm_45747/p2029587/"
10,Качок,img/8.jpg,4,Phones,"качок — атлет, здоровяк, культурист, крепыш, кряж Словарь русских синонимов. качок см. здоровяк Словарь синонимов русского языка. Практический справочник. М.: Русский язык. З. Е. Александрова. 2011 А ты дрыщуга сук"
11,CHASI,img/9.jpg,4,Apple-For work,"raphics gives it the potential to go toe-to-toe with even the most hardcore of all gaming laptops. ROG G701 is paired with an ultra-fast 120Hz G-SYNC display for smooth gaming performance to give you a competitive advantage on the battlefield."
1,iMac Pro,img/imacpro.jpg,17299,For work-Apple,"Pros love iMac. So when they asked us to build them a killer iMac, we went all in. And then we went way, way beyond, creating an iMac packed with 8===================D "
12,Nokia,img/10.jpg,69,Apple-Phones,"Словарь русских синонимов: ty gandonchik "
13,IPHONE,img/11.jpg,6229,Apple-Phones,"Экран (5’, IPS, 1920х1080)/ Qualcomm Snapdragon 625 (2.0 ГГц)/ основная камера: 13 Мп, фронтальная камера: 5 Мп/ RAM 3 ГБ/ 32 ГБ встроенной памяти + microSD/SDHC (до 128 ГБ)/ 3G/ LTE/ GPS/ GLONASS/ поддержка 2х SIM-карт (Micro-SIM+Nano-SIM)/ Android 6.0 (Marshmallow) / 4100 мА*ч"
14,iPad,img/12.png,9090,Apple-Phones,"Технические характеристики Apple iPad A1823 Wi-Fi 4G 128GB Gold (MPG52RK/A)"
15,iPhone7++:),img/13.png,77777,Apple-Phones,"Я думаю описание здесть не столь важно"
